firm,firm_slug,rating,reviews,account_size,steps,steps_label,profit_targets,daily_drawdown_pct,max_drawdown_pct,pt_dd_ratio,profit_split_pct,payout_timing,fee_discounted,fee_original,fee_assumed,fee_assumption,currency,asset_class,drawdown_type,loyalty_pts
The5ers,the-5-ers,4.8,1111,100000,2,2 Steps,8.0% / 5.0%,5.0,10.0,1:0.77,80.0,14 Days,545.0,545.0,545.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,285
BrightFunded,brightfunded,4.5,99,100000,2,2 Steps,8.0% / 5.0%,5.0,10.0,1:0.77,80.0,"30 days, subsequently 14 days | 14 days & 7 days payout with add-ons",495.0,495.0,495.0,original_no_discount,EUR,forex,Balance/Equity - Highest at EOD,347
FundingPips,funding-pips,4.3,960,100000,2,2 Steps,6.0% / 6.0%,3.0,6.0,1:0.5,80.0,Daily Payouts (80% Split with 35% consistency score applicable during the evaluation only) | Weekly (80% Split),399.0,399.0,399.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,351
FundedNext,fundednext,4.4,710,100000,2,2 Steps,8.0% / 4.0%,4.0,8.0,1:0.67,80.0,"First payout is 21 Days, then 14 Days. On demand (available anytime if you hit 5% and above, you can request withdrawal immediately). Available till 8th of August",399.99,399.99,399.99,original_no_discount,USD,forex,Balance Based,205
Alpha Capital,alpha-capital-group,4.4,840,100000,2,2 Steps,6.0% / 6.0%,3.0,6.0,1:0.5,80.0,14 days or on demand payout,427.0,427.0,427.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,329
Goat Funded Trader,goat-funded-trader,4.4,719,100000,2,2 Steps,8.0% / 6.0%,4.0,10.0,1:0.71,80.0,Bi-weekly | First Payout on demand as add-on with a 40% profit split,458.0,458.0,458.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,378
Blueberry Funded,blueberry-funded,3.7,274,100000,2,2 Steps,10.0% / 5.0%,5.0,10.0,1:0.67,80.0,14 Days,590.0,590.0,590.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,681
Maven,maven-trading,4.3,666,100000,2,2 Steps,8.0% / 5.0%,4.0,8.0,1:0.62,80.0,10 Business days,440.0,440.0,440.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,581
NEW,moneta-funded,,,100000,2,2 Steps,5.0% / 10.0%,5.0,10.0,1:0.67,88.0,14 days,650.0,650.0,650.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,751
AquaFunded,aquafunded,4.3,222,100000,2,2 Steps,10.0% / 5.0%,5.0,10.0,1:0.67,90.0,14 Days,429.0,429.0,429.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,472
Top One Trader,top-one-trader,4.4,145,100000,2,2 Steps,10.0% / 5.0%,4.0,8.0,1:0.53,80.0,"Bi-weekly payouts | On Demand payouts with add-on, minimum profitable days and all payout rules still applies.",998.0,998.0,998.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,697
For Traders,for-traders,4.5,221,100000,2,2 Steps,8.0% / 5.0%,4.0,8.0,1:0.62,80.0,14 Days,569.0,569.0,569.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,469
QT Funded,qt-funded,3.9,656,100000,2,2 Steps,6.0% / 6.0%,4.0,8.0,1:0.67,80.0,On Demand,432.0,432.0,432.0,original_no_discount,USD,forex,Balance Based,285
Finotive Funding,finotive-funding,4.2,115,100000,2,2 Steps,7.5% / 5.0%,4.5,9.0,1:0.8,80.0,"Payout on demand, then every 7 Days",699.0,699.0,699.0,original_no_discount,USD,forex,Balance Based,288
FTMO,ftmo,4.6,184,100000,2,2 Steps,10.0% / 5.0%,5.0,10.0,1:0.67,80.0,14 days from the first day of trading,540.0,540.0,540.0,original_no_discount,EUR,forex,Balance Based,140
Blue Guardian,blue-guardian,4.3,213,100000,2,2 Steps,10.0% / 4.0%,4.0,10.0,1:0.71,85.0,14 Days,464.0,464.0,464.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,383
Fintokei,fintokei,,,100000,2,2 Steps,8.0% / 6.0%,5.0,10.0,1:0.71,80.0,14 days,529.0,529.0,529.0,original_no_discount,EUR,forex,Equity Based,201
FundedElite,fundedelite,4.3,99,100000,2,2 Steps,10.0% / 5.0%,4.0,8.0,1:0.53,80.0,"Standard: First payout after 21 days, then every 14 days (customizable)",299.0,299.0,299.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,345
ThinkCapital,thinkcapital,4.2,54,100000,2,2 Steps,9.0% / 5.0%,4.0,7.0,1:0.62,80.0,Biweekly,499.0,499.0,499.0,original_no_discount,USD,forex,Equity Based,659
City Traders Imperium,city-traders-imperium,4.4,52,100000,2,2 Steps,10.0% / 5.0%,5.0,10.0,1:0.67,80.0,First payout on demand | Monthly thereafter during the last 5 days of each month,689.0,689.0,689.0,original_no_discount,USD,forex,Balance Based,531
Funded Trading Plus,funded-trading-plus,4.2,65,100000,2,2 Steps,7.0% / 7.0%,4.0,8.0,1:0.57,80.0,10 Calender Days,549.0,549.0,549.0,original_no_discount,USD,forex,Balance Based,483
Instant Funding,instant-funding,3.8,329,100000,2,2 Steps,8.0% / 4.0%,4.0,10.0,1:0.83,60.0,"5–13 days: 60%, 14–27 days: 80% or 28 days or later: 95%",419.0,419.0,419.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,210
ATFunded,atfunded,,,100000,2,2 Steps,8.0% / 5.0%,4.0,10.0,1:0.77,75.0,First payout: 30 days after placing 1st trade | Subsequent Payouts: Bi-weekly,460.0,460.0,460.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,607
Crypto Fund Trader,crypto-fund-trader,4.2,100,100000,2,2 Steps,8.0% / 5.0%,5.0,10.0,1:0.77,80.0,15 trading days or 30 days,660.0,660.0,660.0,original_no_discount,USD,forex,Balance Based,1013
Nordic Funder,nordic-funder,,,100000,2,2 Steps,10.0% / 5.0%,4.0,8.0,1:0.5,80.0,Once every 30 days,525.0,525.0,525.0,original_no_discount,USD,forex,Balance Based,1040
FXIFY,fxify,3.9,102,100000,2,2 Steps,10.0% / 5.0%,4.0,10.0,1:0.67,80.0,"First payout on-demand, 30 days thereafter | 14 Days Payout with Add-On",549.0,549.0,549.0,original_no_discount,USD,forex,Balance Based,845
The Trading Pit,the-trading-pit,3.8,23,100000,2,2 Steps,8.0% / 5.0%,5.0,10.0,1:0.77,80.0,"14 days, minimum payout $100",569.0,569.0,569.0,original_no_discount,USD,forex,Balance Based,845
Hantec Trader,hantec-trader,4.4,23,100000,2,2 Steps,8.0% / 4.0%,4.0,8.0,1:0.67,80.0,14 Days,499.0,499.0,499.0,original_no_discount,USD,forex,Balance/Equity - Highest at EOD,576
