firm,firm_slug,rating,reviews,account_size,steps,steps_label,profit_targets,daily_drawdown_pct,max_drawdown_pct,pt_dd_ratio,profit_split_pct,payout_timing,fee_discounted,fee_original,fee_assumed,fee_assumption,currency,asset_class,activation_fee,max_contract_size,max_loss_type,max_payout_amount,min_payout_threshold,consistency_rule,loyalty_pts
Tradeify,tradeify,4.8,149,25000,1,Instant,,,1000.0,None,90.0,Not Fixed (Payout Profit Goals are the profits required between payout requests.),230.3,329.0,329.0,original_no_discount,USD,futures,None,"{""minis"": 1, ""micros"": 10}",EOD Trailing,"$1,000","$1,500","{""eval"": ""None"", ""funded"": ""20%""}",239
My Funded Futures,my-funded-futures,4.6,208,25000,1,1 Step,"$1,500",,1000.0,1:0.67,80.0,5 winning days of $100 minimum,49.0,84.0,84.0,original_no_discount,USD,futures,None,"{""minis"": 3, ""micros"": 30}",EOD Trailing,"$3,000",$250,"{""eval"": ""50%"", ""funded"": ""None""}",65
Alpha Futures,alpha-futures,4.6,37,25000,1,1 Step,"$1,500",,1000.0,1:0.67,90.0,"Weekly, provided the 5 winning days of $200 profit or more and 40% consistency rule is met",67.15,79.0,79.0,original_no_discount,USD,futures,None,"{""minis"": 1, ""micros"": 10}",EOD Trailing,"$1,000",5 days of $200,"{""eval"": ""None"", ""funded"": ""40%""}",148
Apex Trader Funding,apex-trader-funding,3.8,95,25000,1,1 Step,"$1,500",,1000.0,1:0.6,100.0,Weekly | Minimum of 5 trading days,17.7,118.0,118.0,original_no_discount,USD,futures,$79.00,"{""minis"": 4, ""micros"": 40}",Intraday Trailing,"$1,000",$500+ safety net,"{""eval"": ""None"", ""funded"": ""50%""}",0
Top One Futures,top-one-futures,4.7,66,25000,1,1 Step,"$1,500",,1000.0,1:0.67,90.0,Profit Requirement and Consistency Rule Met,44.85,69.0,69.0,original_no_discount,USD,futures,$149.00,"{""minis"": 1, ""micros"": 10}",EOD Trailing,"$1,500","$1,500","{""eval"": ""None"", ""funded"": ""25%""}",30
FundedNext Futures,fundednext-futures,4.4,51,25000,1,1 Step,"$1,250",,1000.0,1:0.8,80.0,"50% profit split after every 5 benchmark days, 100% after 30 or more benchmark days",55.99,79.99,79.99,original_no_discount,USD,futures,None,"{""minis"": 2, ""micros"": 20}",EOD Trailing,None,5 days of $100,"{""eval"": ""40%"", ""funded"": ""None""}",46
NEW,lucid-trading,,,25000,1,1 Step,"$1,250",,1000.0,1:0.8,90.0,Every 5 Days,50.0,100.0,100.0,original_no_discount,USD,futures,None,"{""minis"": 2, ""micros"": 20}",EOD Trailing,"$1,000",$500,"{""eval"": ""50%"", ""funded"": ""None""}",83
Take Profit Trader,take-profit-trader,3.3,15,25000,1,1 Step,"$1,500",,1500.0,1:1,80.0,After clearing the buffer zone,90.0,150.0,150.0,original_no_discount,USD,futures,$130.00,"{""minis"": 3, ""micros"": 30}",EOD Trailing,None,None,"{""eval"": ""50%"", ""funded"": ""None""}",149
E8 Futures,e8-futures,4.6,12,25000,1,1 Step,"$1,500",,1000.0,1:0.67,80.0,On Demand (Rules Apply),99.0,110.0,110.0,original_no_discount,USD,futures,None,"{""minis"": 2, ""micros"": null}",EOD Trailing,"$1,000",$100,"{""eval"": ""None"", ""funded"": ""35%""}",48
NEW,futureselite,,,25000,1,Instant,,,1000.0,None,80.0,7 winning days of $100 each day | With Profit Goals and Consistency Rule Met | Customizable to 14 waiting days / 21 waiting days,329.0,329.0,329.0,original_no_discount,USD,futures,None,"{""minis"": 2, ""micros"": 20}",EOD Trailing,"$1,000","$1,500","{""eval"": ""None"", ""funded"": ""20%""}",543
